CODIGO_PROYECTO,TITULO_PROYECTO,ENTIDAD,AREA_TEMATICA,DEPARTAMENTO_ENTIDAD,CIUDAD_ENTIDAD,,,,,,,
520145422077,DISENO Y DESARROLLO DE PRODUCTOS COSMECEUTICOS FOTOPROTECTORES EN CREMA LOCION Y GEL COMO COADYUVANTES DE TERAPIAS ONCOLOGICAS,CENTRO DE LA CIENCIA Y LA INVESTIGACION FARMACEUTICA - CECIF,INFORMACION NO SOLICITADA,ANTIOQUIA,ITAGUI,,,,,,,
121645425012,DETERMINACION DE LAS PROPIEDADES FISICAS Y QUIMICAS DE MADERAS PLASTICAS OBTENIDAS A PARTIR DE MEZCLAS DE POLIMEROS RECICLABLES,UNIVERSIDAD EAFIT,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
111845422087,METODOLOGIA INTEGRAL Y EL REDISENO DE SISTEMAS  PARA LA MODERNIZACION OPERACION ECOEFICIENTE  Y OPTIMIZACION GLOBAL DE LA PLANTA DE ESTANADO DE LANDERS S.A.,UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE MEDELLIN,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
110145421927,Desarrollo de las condiciones de sacrificio y obtencion de carne a partir de  ovinos de lana y pelo cruzados con razas criollas colombianas ,UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTA,INFORMACION NO SOLICITADA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
115045422092,Uso Racional y Eficiente de la Energia en Unidades Microempresariales de Medellin,INSTITUTO TECNOLOGICO METROPOLITANO DE MEDELLIN - I.T.M.,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
120245421993,MANEJO INTEGRADO DE LOS PRINCIPALES ARTROPODOS PLAGA ASOCIADOS AL CULTIVO DE FRESA.,UNIVERSIDAD DE BOGOTA JORGE TADEO LOZANO,INFORMACION NO SOLICITADA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
111845422093,PROPUESTA DE DIAGNOSTICO Y MEJORAMIENTO DEL PROCESO DE PRODUCCION DE UN HIDROLIZADO DE PROTEINA ANIMAL CON PALATABILIDAD ACEPTABLE EN ALIMENTACION DE ANIMALES DOMESTICOS (Version Ajustada),UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE MEDELLIN,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
111845422107,Prototipo de Laboratorio de un Sistema de Vision Industrial para la Inspeccion y Control de Calidad de Dientes Artificiales de dos capas,UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE MEDELLIN,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
25043,Programa Estrategico Diseno e implementacion de modelos de gestion para mejoramiento de la eficiencia operativa en Mundial Logistics Service S.A. (MLS) y Comercial Plastider S.A.,UNIVERSIDAD DEL NORTE - UNINORTE,INFORMACION NO SOLICITADA,ATLANTICO,BARRANQUILLA,,,,,,,
710645425890,Evaluacion de alternativas de alimentacion sobre la produccion y calidad composicional de la leche en el sistema de produccion doble proposito del departamento del Cesar.,CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - CORPOICA,INFORMACION NO SOLICITADA,CUNDINAMARCA,MOSQUERA,,,,,,,
710645425893,Analisis del Antagonismo de Dicyma pulvinata sobre microorganismos patogenos de comun incidencia en cultivos de caucho natural.,CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - CORPOICA,INFORMACION NO SOLICITADA,CUNDINAMARCA,MOSQUERA,,,,,,,
